Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage,betaValue,beta
AA,Alcoa Inc.,-463,USD,42.04,43.07,-0.17,476.89,19464.52,2.39,3.04987,3.04987
AAP,Advance Auto Parts Inc.,247,USD,89.87,81.22,0.64,"2,136.55",22197.89,10.65,0.91066,0.91066
AES,The AES Corporation,1955,USD,10.74,10.25,0.05,957.95,20996.7,4.78,1.23094,1.23094
AHL,Aspen Insurance Holdings Limited,474,USD,41,42.2,0.45,-568.8,19434,-2.84,0.76347,0.76347
AKAM,Akamai Technologies Inc. ,369,USD,55.35,54.25,-0.44,405.9,20424.15,2.03,0.65281,0.65281
ALB,Albemarle Corporation,-135,USD,136.23,141.29,-0.83,683.1,18391.05,3.58,1.72543,1.72543
ALGN,"Align Technology, Inc.",-78,USD,262.42,255.69,7.66,-524.94,20468.76,-2.63,1.42622,1.42622
ANET,Arista Networks,-89,USD,238.64,224.6,-3.42,"-1,249.56",21238.96,-6.25,1.30207,1.30207
AYI,Acuity Brands Inc. (Holding Company),124,USD,159.85,160.12,1.86,-33.48,19821.4,-0.17,1.44675,1.44675
BGCP,BGC Partners Inc. ,-1317,USD,15.97,15.18,0.04,"-1,040.43",21032.49,-5.2,1.2659,1.2659
BHF,Brighthouse Financial Inc.,353,USD,57.61,56.53,0.32,381.24,20336.33,1.91,8.77208,8.77208
BKI,Black Knight Inc.,-437,USD,46.1,45.75,0.6,-152.95,20145.7,-0.77,0.48128,0.48128
BPOP,Popular Inc. ,595,USD,34.87,33.61,0.05,749.7,20747.65,3.75,1.33297,1.33297
CACC,Credit Acceptance Corporation,-70,USD,283.68,284.61,-4.78,65.1,19857.6,0.33,0.51725,0.51725
CBOE,Cboe Global Markets Inc. ,-175,USD,120.5,114.39,0.37,"-1,069.25",21087.5,-5.34,0.49678,0.49678
CC,The Chemours Co,-392,USD,52.71,51.22,-0.6,-584.08,20662.32,-2.91,3.34716,3.34716
CGNX,Cognex Corporation,-146,USD,143.23,136.19,-1.15,"-1,027.84",20911.58,-5.17,1.45294,1.45294
CNC,Centene Corporation,-212,USD,98.09,94.21,0.92,-822.56,20795.08,-4.12,0.6826,0.6826
COG,Cabot Oil & Gas Corporation,-689,USD,29.14,29.05,-0.11,-62.01,20077.46,-0.31,0.51059,0.51059
CONE,CyrusOne Inc. ,-323,USD,61.57,61.82,-0.36,80.75,19887.11,0.4,0.81627,0.81627
