,Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage,Beta,Weight,Beta_contribution
27,DLPH,Delphi Automotive PLC,1200,USD,51.19,50.62,0.51,684,61428.0,1.13,1.41579,0.0611744532168,0.0866101791199
92,WLL,Whiting Petroleum Corporation,768,USD,22.98,25.69,-0.66,"-2,081.28",17648.64,-10.55,3.41941,0.0175757944589,0.0600988473307
13,BHF,Brighthouse Financial Inc.,342,USD,59.86,58.62,-0.12,424.08,20472.12,2.12,2.90898,0.0203876204205,0.0593071800508
67,RSPP,RSP Permian Inc.,533,USD,36.85,37.52,-0.24,-357.11,19641.05,-1.79,2.15892,0.0195599806986,0.0422284335299
62,OPK,Opko Health Inc.,3838,USD,5.13,5.22,0.03,-345.42,19688.94,-1.72,1.82254,0.0196076730305,0.035735768405
37,HES,Hess Corporation,422,USD,45.13,47.64,-0.28,"-1,059.22",19044.86,-5.27,1.77771,0.0189662514992,0.0337164949526
65,RIG,Transocean Ltd.,1826,USD,10.1201,10.89,-0.03,"-1,405.84",18479.3026,-7.07,1.80489,0.0184030284623,0.0332154420414
58,OII,Oceaneering International Inc.,984,USD,19.14,20.27,-0.12,"-1,111.92",18833.76,-5.57,1.63586,0.0187560228237,0.0306822274965
64,QEP,QEP Resources Inc.,1915,USD,9.045,10.43,-0.04,"-2,652.28",17321.175,-13.28,1.75284,0.0172496810851,0.0302359309933
54,NBR,Nabors Industries Ltd.,3062,USD,5.92,6.61,-0.09,"-2,112.78",18127.04,-10.44,1.58421,0.0180522198418,0.0285985071955
83,TSRO,Tesaro Inc.,231,USD,81.885,87.16,0.45,"-1,218.53",18915.435,-6.05,1.50595,0.0188373607066,0.0283681233561
49,MNK,Mallinckrodt Public Limited Company,898,USD,24.45,22.34,0.39,"1,894.78",21956.1,9.44,1.29054,0.0218654752275,0.0282182704001
86,UNIT,Kemper Corp,1196,USD,17.77,16.72,-0.06,"1,255.80",21252.92,6.28,1.19561,0.021165197634,0.0253053219432
